Title,Year,Hours,Horsepower,Location,Price,URL
John Deere 6R155,2023,"1,410
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","155,464 €",https://www.agriaffaires.co.uk/used/farm-tractor/44911415/john-deere-6r155.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 7R330 - Gen 2,2020,"3,037
                                                                                                    h","360
                                                                                                    hp","United Kingdom,            , South West England","153,178 €",https://www.agriaffaires.co.uk/used/farm-tractor/45092890/john-deere-7r330-gen-2.html
Massey Ferguson 178,1986,"78
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","6,001 €",https://www.agriaffaires.co.uk/used/farm-tractor/44751303/massey-ferguson-178.html
John Deere 6145R,2022,"2,640
                                                                                                    h","145
                                                                                                    hp","United Kingdom,            , South East England","114,255 €",https://www.agriaffaires.co.uk/used/farm-tractor/44786393/john-deere-6145r.html
John Deere 3040,1985,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073222/john-deere-3040.html
Case IH PUMA 165,2020,"1,988
                                                                                                    h","165
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","73,160 €",https://www.agriaffaires.co.uk/used/farm-tractor/44941996/case-ih-puma-165.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6130R,2015,"5,747
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , East Midlands              (Lincolnshire)","45,725 €",https://www.agriaffaires.co.uk/used/farm-tractor/45086233/john-deere-6130r.html
Challenger MT765C,For sale / Offers,MT765C,21/08/2024,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45110467/challenger-mt765c.html
Claas 95E,2001,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45110456/claas-95e.html
Ford 7810,1991,"105
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","8,288 €",https://www.agriaffaires.co.uk/used/farm-tractor/44797698/ford-7810.html
Massey Ferguson 135,1968,N/A,N/A,"United Kingdom,            , South East England",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/45073480/massey-ferguson-135.html
John Deere 6600,1995,"110
                                                                                                    hp",N/A,"United Kingdom,            , Northern Ireland              (Tyrone)","11,145 €",https://www.agriaffaires.co.uk/used/farm-tractor/44584096/john-deere-6600.html
New Holland T7.315,2019,"2,880
                                                                                                    h",N/A,"United Kingdom,            , South East England","107,453 €",https://www.agriaffaires.co.uk/used/farm-tractor/45050539/new-holland-t7-315.html
John Deere 7R 310,2021,"1,595
                                                                                                    h","310
                                                                                                    hp","United Kingdom,            , South East England","217,135 €",https://www.agriaffaires.co.uk/used/farm-tractor/44714726/john-deere-7r-310.html
Mc Cormick CX 110,2009,"713
                                                                                                    h","110
                                                                                                    hp","United Kingdom,            , East of England              (Cambridgeshire)",N/A N/A,https://www.agriaffaires.co.uk/used/farm-tractor/44830769/mc-cormick-cx-110.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6R 155,2023,"1,550
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","138,889 €",https://www.agriaffaires.co.uk/used/farm-tractor/44786391/john-deere-6r-155.html
John Deere 6155R,2022,"1,560
                                                                                                    h",N/A,"United Kingdom,            , South East England","137,117 €",https://www.agriaffaires.co.uk/used/farm-tractor/45080556/john-deere-6155r.html
John Deere 6R 155,2023,"424
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , South East England","111,854 €",https://www.agriaffaires.co.uk/used/farm-tractor/45083725/john-deere-6r-155.html
John Deere 6195R,2022,"2,335
                                                                                                    h","195
                                                                                                    hp","United Kingdom,            , South East England","148,600 €",https://www.agriaffaires.co.uk/used/farm-tractor/44865612/john-deere-6195r.html
Massey Ferguson 7718 DYNA 6 EFFICIENT,2019,"5,900
                                                                                                    h","180
                                                                                                    hp","United Kingdom,            , Scotland","72,016 €",https://www.agriaffaires.co.uk/used/farm-tractor/44635563/massey-ferguson-7718-dyna-6-efficient.html
"New Holland T4.55 POWERSTAR Choice of, with,and without Pick-Up Hitches",2023,"55
                                                                                                    hp",N/A,"United Kingdom,            , South West England","34,236 €",https://www.agriaffaires.co.uk/new/farm-tractor/44108975/new-holland-t4-55-powerstar-choice-of-with-and-without-pick-up-hitches.html
John Deere 6R185,2023,"500
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , East Midlands","146,319 €",https://www.agriaffaires.co.uk/used/farm-tractor/44813502/john-deere-6r185.html
John Deere 6130R,2020,"3,321
                                                                                                    h","130
                                                                                                    hp","United Kingdom,            , South East England","100,537 €",https://www.agriaffaires.co.uk/used/farm-tractor/44943060/john-deere-6130r.html
John Deere 6215R ULTIMATE,2021,"5,626
                                                                                                    h",N/A,"United Kingdom,            , South West England","85,734 €",https://www.agriaffaires.co.uk/used/farm-tractor/45092881/john-deere-6215r-ultimate.html
N/A,N/A,N/A,N/A,N/A,N/A,N/A
John Deere 6R185,2023,"966
                                                                                                    h","185
                                                                                                    hp","United Kingdom,            , East Midlands","149,749 €",https://www.agriaffaires.co.uk/used/farm-tractor/44797838/john-deere-6r185.html
John Deere 6140M,2023,"915
                                                                                                    h","140
                                                                                                    hp","United Kingdom,            , South East England","97,108 €",https://www.agriaffaires.co.uk/used/farm-tractor/44879302/john-deere-6140m.html
John Deere 6R155,2023,"1,557
                                                                                                    h","155
                                                                                                    hp","United Kingdom,            , East Midlands","131,459 €",https://www.agriaffaires.co.uk/used/farm-tractor/44911359/john-deere-6r155.html
John Deere 6R 215,2023,"1,415
                                                                                                    h","215
                                                                                                    hp","United Kingdom,            , South East England","175,754 €",https://www.agriaffaires.co.uk/used/farm-tractor/44467161/john-deere-6r-215.html
