Title,URL
Massey Ferguson 595 MKII,https://www.agriaffaires.co.uk/used/farm-tractor/43266590/massey-ferguson-595-mkii.html
Massey Ferguson 355,https://www.agriaffaires.co.uk/used/farm-tractor/42881304/massey-ferguson-355.html
Massey Ferguson 6S.165 Efficient,https://www.agriaffaires.co.uk/used/farm-tractor/45119392/massey-ferguson-6s-165-efficient.html
Massey Ferguson 8S.205 Dyna 7,https://www.agriaffaires.co.uk/used/farm-tractor/44532540/massey-ferguson-8s-205-dyna-7.html
Massey Ferguson 6490 DYNA 6,https://www.agriaffaires.co.uk/used/farm-tractor/45118723/massey-ferguson-6490-dyna-6.html
Massey Ferguson 6480 DYNASHIFT,https://www.agriaffaires.co.uk/used/farm-tractor/45026475/massey-ferguson-6480-dynashift.html
Massey Ferguson 8S.265,https://www.agriaffaires.co.uk/used/farm-tractor/45101498/massey-ferguson-8s-265.html
Massey Ferguson 5712S,https://www.agriaffaires.co.uk/used/farm-tractor/44881862/massey-ferguson-5712s.html
Massey Ferguson 8S.225,https://www.agriaffaires.co.uk/used/farm-tractor/44184455/massey-ferguson-8s-225.html
Massey Ferguson 6616,https://www.agriaffaires.co.uk/used/farm-tractor/44780250/massey-ferguson-6616.html
Massey Ferguson 6490,https://www.agriaffaires.co.uk/used/farm-tractor/45113343/massey-ferguson-6490.html
Massey Ferguson 7618 DYNA 6,https://www.agriaffaires.co.uk/used/farm-tractor/45111748/massey-ferguson-7618-dyna-6.html
Massey Ferguson 7618 DYNA 6,https://www.agriaffaires.co.uk/used/farm-tractor/45018545/massey-ferguson-7618-dyna-6.html
Massey Ferguson 6612,https://www.agriaffaires.co.uk/used/farm-tractor/44146849/massey-ferguson-6612.html
Massey Ferguson FRONT WEIGHT 1500KG,https://www.agriaffaires.co.uk/used/farm-tractor/45106943/massey-ferguson-front-weight-1500kg.html
Massey Ferguson 3095,https://www.agriaffaires.co.uk/used/farm-tractor/45102758/massey-ferguson-3095.html
Massey Ferguson 6265,https://www.agriaffaires.co.uk/used/farm-tractor/43262272/massey-ferguson-6265.html
Massey Ferguson MF8740S DVTEX TRACTOR,https://www.agriaffaires.co.uk/used/farm-tractor/44971972/massey-ferguson-mf8740s-dvtex-tractor.html
Massey Ferguson MF8S.225 D7EX TRACTOR,https://www.agriaffaires.co.uk/used/farm-tractor/44977917/massey-ferguson-mf8s-225-d7ex-tractor.html
Massey Ferguson MF8740S DVTEX TRACTOR,https://www.agriaffaires.co.uk/used/farm-tractor/44696817/massey-ferguson-mf8740s-dvtex-tractor.html
Massey Ferguson MF7720S D6 EX TRACTOR,https://www.agriaffaires.co.uk/used/farm-tractor/44509413/massey-ferguson-mf7720s-d6-ex-tractor.html
Massey Ferguson 168,https://www.agriaffaires.co.uk/used/farm-tractor/42555643/massey-ferguson-168.html
Massey Ferguson 6715S,https://www.agriaffaires.co.uk/used/farm-tractor/42705999/massey-ferguson-6715s.html
Massey Ferguson 7726 DVT,https://www.agriaffaires.co.uk/used/farm-tractor/42680238/massey-ferguson-7726-dvt.html
Massey Ferguson 4709,https://www.agriaffaires.co.uk/used/farm-tractor/42725287/massey-ferguson-4709.html
Massey Ferguson 8S.225,https://www.agriaffaires.co.uk/used/farm-tractor/42339198/massey-ferguson-8s-225.html
Massey Ferguson 8S.265,https://www.agriaffaires.co.uk/used/farm-tractor/42339024/massey-ferguson-8s-265.html
Massey Ferguson 4709,https://www.agriaffaires.co.uk/used/farm-tractor/42318620/massey-ferguson-4709.html
