Name,Address,Postal Code,Locality,Brands,Website,URL
,,,,,
Landmaschinenhandel Helmut Feder,Laasower Str.16D,15913,Straupitz - Germany,"Amazone, Case IH, Hawe, Horsch, John Deere, Lemken, Monosem, New Holland, Vaderstad, CLAAS",www.landmaschinenhf.de
CLAAS Nordostbayern GmbH & Co. KG - Cham,Altenstadter Str. 6,93413,Cham - Germany,CLAAS,www.claas-suedostbayern.de
Wüstenberg  KG,Klanxbüller Straße 9,25899,Niebüll - Germany,,www.wuestenberg-landtechnik.de
CLAAS Südostbayern GmbH - Mengkofen,Ettenkofen 18,84152,Mengkofen - Germany,CLAAS,www.claasboerse-sued.com
KREMMER,Schlesischer Weg 12,02829,Markersdorf - Germany,"Horsch, JCB, Köckerling",
Langbehn Landmaschinen GmbH & Co. KG,Sarauer Straße 2a,23628,Klempau - Germany,"Case, Case IH, Steyr",www.langbehn-landmaschinen.de
Claas Nordostbayern  GmbH & Co KG - Altenstadt,Auf der Haide 8,92665,Altenstadt a.d. Waldnaab - Germany,CLAAS,www.suedostbayern.claas-partner.de
Claas Nordostbayern GmbH & Co. KG - Hollfeld,Hofäckerstr. 2,96142,Hollfeld - Germany,CLAAS,www.claasboerse-sued.com
B+K Traktoren Vertriebs GmbH,Industriestraße 3,49577,Kettenkamp - Germany,,www.bktraktoren.de
Kloster Adam Land-und Baumaschinen Handels GmbH,Pfeddersheimer Strasse 6,67591,Mörstadt - Germany,,
Herpich Landtechnik GmbH,Gelenauer Str. 13,09430,Drebach - Germany,John Deere,
Junge Landtechnik GmbH & Co. KG,"Lindenallee 5
                                                                    Ankelohe",27624,Geestland - Germany,"Amazone, BVL, Case, Deutz-Fahr, Düvelsdorf, Keenan, Kerner, Kramer, Krone, Oelher, Same, Stehr, Stockmann",www.junge-landtechnik.de
Drümmer GmbH & Co KG,Westerkamp 5,24640,Schmalfeld - Germany,,
AVL Import Export,Route de Beaufort,49350,Les Rosiers-sur-Loire - France,,
CLAAS Südostbayern GmbH - Hutthurm,Kringeller Str. 84,94116,Hutthurm - Germany,CLAAS,
CLAAS Vertriebsgesellschaft mbH FIRST CLAAS USED Center,Waller See 24,38179,Schwülper - Germany,,
Scharfenberger GmbH & Co. KG,Philipp-Krämer-Ring 30,67098,Bad Dürkheim - Germany,"Braud, Europress, New Holland",www.scharfenberger.de
LEMKEN GmbH & Co. KG,Weseler Straße 5,46519,Alpen - Germany,,
Quinte Landtechnik GmbH & Co. KG,Niederwiesenweg 50,33165,Lichtenau-Kleinenberg - Germany,"John Deere, CLAAS",www.quinte-landtechnik.de
CLAAS Südostbayern GmbH - Obersöchering,Aidlinger Str. 1,82395,Obersöchering - Germany,CLAAS,www.claasboerse-sued.com/
CLAAS Main-Donau  GmbH & Co. KG - Heilsbronn,Caspar-Othmayr-Straße 10,91560,Heilsbronn - Germany,CLAAS,
Borries-Lader e.K.,Siemensstr. 16 b,50374,Erftstadt - Germany,,radlader-zentrum.de/
CLAAS Nordostbayern GmbH & Co. KG - Gefrees,Helmut-Sandler-Str. 2,95482,Gefrees - Germany,CLAAS,www.claasboerse-sued.com
Wernsmann- Industrieservice GmbH,"Naendorf
                                                                    77",48629,Metelen - Germany,"AGS, Fendt, John Deere, Liebherr, New Holland, CLAAS",
Auer Landtechnik,Mainzerstr. 12,55296,Lörzweiler - Germany,,www.auer-landtechnik.de
AGRIMEX,Dorfstraße 31,06268,Weißenschirmbach - Germany,,
Knoblauch Landtechnik GmbH,Tannenkirch,79400,KANDERN - Germany,John Deere,www.knoblauch.gmbh
LANDTECHNIK ZIMMERMANN,Duerenerstraße 1a,52445,Titz-Ameln - Germany,,www.LT-Zimmermann.de
AVR bvba,Meensesteenweg 545,8800,Roeselare - Belgium,,
BRUNS Maschinenhandel,Rheinuferstraße 90,41468,Neuss - Germany,,www.hwbruns.de
P. Urny Handel,Münsterstraße 28,59302,Oelde - Germany,"Bobcat, Geringhoff, JCB, Kramer, Linde, Manitou, Merlo, Takeuchi, CLAAS",
Maschinenhandel Höing Gmbh & Co KG,Liebigstrasse 8,48712,Gescher - Germany,"Case IH, Challenger, Deutz-Fahr, Fendt, John Deere, Massey Ferguson, New Holland, CLAAS",www.mhg-maschinen.com
CLAAS Südostbayern GmbH - Arnstdorf,Schönauer Str. 29,94424,Arnstdorf - Germany,CLAAS,www.claasboerse-sued.com/
HIMEL Maschinen GmbH&Co.KG,Mittelhofen 11,72393,Melchingen - Germany,,
HDK Kaltensundheim,"Mittelsdorferstraße 23
                                                                    OT/ Kaltensundheim",36452,Kaltennordheim - Germany,"Amazone, Briol, Köckerling, Kraiburg, Krone, Massey Ferguson, Patura, Schäffer, Stallkamp",
LGRain GmbH,Zur Hasenheide 1,29559,Wrestedt - Germany,,www.lgrain.de
"Thomas Roßmann, Land- und Gartentechnik","Mainburger Str. 26
                                                                    Tegernbach",84104,Rudelzhausen - Germany,,
Schillinger GMBH Beregnungsanlagen,Ihringer Landstraße 25,79206,Breisach am Rhein - Germany,"Bauer, Green Power, Idrofoglia",www.schillinger-beregnungsanlagen.de
Pfeifer Landmaschinen,Am Kranichfelder Weg 2,99334,Elleben OT Riechheim - Germany,"Case, Caterpillar, Dal-Bo, Hardi, John Deere, Steyr, Vaderstad",www.pfeifer-landmaschinen.de
CLAAS Nordostbayern GmbH & Co. KG - Freystadt,Berchinger Str. 29,92342,Freystadt - Germany,CLAAS,www.claasboerse-sued.com
ROPA Fahrzeug- und Maschinenbau GmbH,Sittelsdorf 24,84097,Herrngiersdorf - Germany,"Agrifac, AVR, Dewulf, Grimme, Holmer, Ropa, Vervaet, WM Kartoffeltechnik",www.ropa-maschinenbau.de
BayWa AG Weinbautechnik Zentrum Volkach,Dieselstraße 2,97332,Volkach - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, CLAAS",www.baywa.de
Lars Hentschel Landtechnikhandel,Bahnhofsweg 2a,14547,Beelitz - Germany,,
AB-Auction BayWa,Weberstr. 9,85077,Manching - Germany,"Fendt, Horsch, Maschio, Massey Ferguson, Pöttinger, CLAAS",www.ab-auction.com
Handelshof GmbH Bismark,Stendaler Straße 43,39629,Bismark - Germany,"Hawe, Horsch, Kuhn, Manitou, New Holland, Weidemann",
E.M.S. Agri Baden Württemberg GmbH & Co. KG,Ferdinand-Porsche-Straße 4,72189,Vöhringen - Germany,,www.ems-agri-bw.de
REMA Fahrzeug & Landtechnik GmbH,Am Denkmal 1,14806,Bad Belzig - Germany,CLAAS,www.rema-landtechnik.de
CLAAS Südostbayern GmbH - Moos-Langenisarhofen,Bundestr. 49,94554,Moos-Langenisarhofen - Germany,CLAAS,www.suedostbayern.claas-partner.de/
