Name,Address,Postal Code,Locality,Brands,Website
OCCITAINE AGRI,1111 route de Beaumarchès,32160,Saint-Aunix-Lengros - France,"Agrimaster, Amazone, Bauer, Berthoud, Calvet, Jeulin, Joskin, Kongskilde, Krone, Kverneland, New Holland, Razol",
DACHARD SAS,1 Rue du Commerce,3220,TRETEAU - France,New Holland Agriculture,www.dachard-sa.com
SJP,D905   (ANCIENNE RN 5),21130,AUXONNE - France,Michelin,
DAFP SAS,Route de Joigny,89130,TOUCY - France,"Agrisem, Case IH",www.dafp-agri.com
ROUERGUE MOTOCULTURE SA- ETS. MERAVILLES G.,"Route de Decazeville
                                                                    47 rue des routiers",12000,RODEZ - France,Deutz-Fahr,www.rouergue-motoculture.com
JP FRANCE,ZA - 2 Rue Charles Biguet,28480,THIRON GARDAIS - France,,
CLAAS EST,Route de L'Aéroport Régional,57420,CHEMINOT - France,CLAAS,www.tractomarket.com/est
CLAAS BRETAGNE NORD,ZI de Kerbriant - CS 11000,29610,PLOUIGNEAU - France,CLAAS,www.tractomarket.com/bretagnenord
T3M LAVAIL,Route de Castelnaudary - BP 104,31250,REVEL - France,,
SNQM-MARSALEIX,Bagou 342 ROUTE DE GRAMAT,46400,ST MEDARD DE PRESQUE - France,Massey Ferguson,
CLAAS  AUVERGNE,RN 9 - Saulzet,3800,SAULZET - France,CLAAS,www.tractomarket.com/auvergne
BOUCHARD AGRICULTURE,D619,77720,MORMANT - France,John Deere,
SAS HUOT,1 Route de Plénise,25110,VILLERS ST MARTIN - France,New Holland Agriculture,www.huot-agri.com
BALTHAZARD SARL,107 Rue Charles de Gaulle,68370,ORBEY - France,"Deutz-Fahr, Same",
TISSIER SARL,Les Aubis,3210,BRESNAY - France,"Deutz-Fahr, Gyrax, Kuhn, Lemken, McConnel, Ponge, Sodimac, Supertino, Valtra",
GARNIER SARL,1 Rue de la Petite Cote,25270,LEVIER - France,Fendt,
PRIMAULT SAS,102 Bis Rue de Courcelles,51100,REIMS - France,CLAAS,
BONFILS,"ZI LE PLAN
                                                                    zi",38140,Renage - France,"Caterpillar, John Deere",
CHAMOUX VIDONNE SARL,400 RUE DU QUARRE,74800,Amancy - France,New Holland,
ETS CAPELLE,Route de Raulhac,15800,JOU SOUS MONJOU - France,CLAAS,
SICA ARTOIS TERNOIS,Route de Frévent,62130,HERLIN LE SEC - France,"Case IH, New Holland Agriculture",
OCCAMAT,ZA Les Molinières - RD 888,12450,LA PRIMAUBE - France,,www.occamat.net
CENTRAL GARAGE,674 Route de Paris CS 20053,79185,CHAURAY CEDEX - France,Massey Ferguson,
BERNY M&S,La Borde,37110,MONTHODON - France,"Krone, Laverda, Valtra",
PONCELET R. SA,25 Rue des Cloyères,10380,PLANCY-L'ABBAYE - France,"Amazone, Berthoud, Case IH, Merlo",www.rponcelet.com
CHAMBON & FILS,6 Chemin Verdet,33500,Libourne - France,"Case IH, New Holland Agriculture",
AGRI MODERNE SARL,246 Avenue Albert Thomas,81000,Albi - France,CLAAS,www.agrimoderne.com
CHAVANEL AGRI,70 CHEMIN DU BERTRAND,26600,PONT DE L ISERE - France,,
